NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInCategory::OST_FabricAreas;-2009017;Structural Fabric Areas
OdBm::BuiltInCategory::OST_FabricAreaSketchEnvelopeLines;-2009018;<Fabric Envelope>
OdBm::BuiltInCategory::OST_FabricAreaSketchSheetsLines;-2009019;<Fabric Sheets>
OdBm::BuiltInCategory::OST_RebarTags;-2009020;Structural Rebar Tags
OdBm::BuiltInCategory::OST_AreaReinTags;-2009021;Structural Area Reinforcement Tags
OdBm::BuiltInCategory::OST_FabricReinforcementTags;-2009022;Structural Fabric Reinforcement Tags
OdBm::BuiltInCategory::OST_FabricAreaTags;-2009023;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RebarSetToggle;-2009025;Rebar Set Toggle
OdBm::BuiltInCategory::OST_FabricReinforcementBoundary;-2009026;Boundary
OdBm::BuiltInCategory::OST_FabricReinforcementWire;-2009027;Fabric Wire
OdBm::BuiltInCategory::OST_FabricReinSpanSymbol;-2009028;Structural Fabric Reinforcement Symbols
OdBm::BuiltInCategory::OST_FabricAreaBoundary;-2009029;Boundary
OdBm::BuiltInCategory::OST_StructConnections;-2009030;Structural Connections
OdBm::BuiltInCategory::OST_StructWeldLines;-2009031;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StructConnectionHiddenLines;-2009032;<Hidden Lines>
OdBm::BuiltInCategory::OST_StructConnectionSymbol;-2009033;Symbol
OdBm::BuiltInCategory::OST_StructConnectionStale;-2009034;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StructConnectionFailed;-2009035;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StructConnectionReference;-2009036;Reference
OdBm::BuiltInCategory::OST_StructConnectionProfiles;-2009037;Profiles
OdBm::BuiltInCategory::OST_StructConnectionPlates;-2009038;Plates
OdBm::BuiltInCategory::OST_StructConnectionAnchors;-2009039;Anchors
OdBm::BuiltInCategory::OST_StructConnectionTags;-2009040;Structural Connection Tags
OdBm::BuiltInCategory::OST_StructConnectionBolts;-2009041;Bolts
OdBm::BuiltInCategory::OST_StructConnectionOthers;-2009042;Others
OdBm::BuiltInCategory::OST_StructConnectionNobleWarning;-2009043;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StructConnectionShearStuds;-2009044;Shear Studs
OdBm::BuiltInCategory::OST_StructConnectionHoles;-2009045;Holes
OdBm::BuiltInCategory::OST_StructConnectionWelds;-2009046;Welds
OdBm::BuiltInCategory::OST_StructConnectionModifiers;-2009047;Modifiers
OdBm::BuiltInCategory::OST_SteelElementStale;-2009048;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StructSubConnections;-2009049;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RebarHiddenLines;-2009050;<Hidden Lines>
OdBm::BuiltInCategory::OST_StructConnectionPlateTags;-2009055;Plate Tags
OdBm::BuiltInCategory::OST_StructConnectionBoltTags;-2009056;Bolt Tags
OdBm::BuiltInCategory::OST_StructConnectionAnchorTags;-2009057;Anchor Tags
OdBm::BuiltInCategory::OST_StructConnectionShearStudTags;-2009058;Shear Stud Tags
OdBm::BuiltInCategory::OST_StructConnectionWeldTags;-2009059;Weld Tags
OdBm::BuiltInCategory::OST_Coupler;-2009060;Structural Rebar Couplers
OdBm::BuiltInCategory::OST_CouplerTags;-2009061;Structural Rebar Coupler Tags
OdBm::BuiltInCategory::OST_CouplerHiddenLines;-2009062;<Hidden Lines>
OdBm::BuiltInCategory::OST_StructConnectionHoleTags;-2009063;Hole Tags
OdBm::BuiltInCategory::OST_StructConnectionProfilesTags;-2009064;Profile Tags
OdBm::BuiltInCategory::OST_WindowsHiddenLines;-2009500;<Hidden Lines>
OdBm::BuiltInCategory::OST_DoorsHiddenLines;-2009501;<Hidden Lines>
OdBm::BuiltInCategory::OST_RoofsHiddenLines;-2009502;<Hidden Lines>
OdBm::BuiltInCategory::OST_CeilingsHiddenLines;-2009503;<Hidden Lines>
OdBm::BuiltInCategory::OST_LinesHiddenLines;-2009504;<Hidden Lines>
OdBm::BuiltInCategory::OST_FurnitureHiddenLines;-2009505;<Hidden Lines>
OdBm::BuiltInCategory::OST_ColumnsHiddenLines;-2009506;<Hidden Lines>
OdBm::BuiltInCategory::OST_StairsHiddenLines;-2009507;<Hidden Lines>
OdBm::BuiltInCategory::OST_StairsRailingHiddenLines;-2009508;<Hidden Lines>
OdBm::BuiltInCategory::OST_RampsHiddenLines;-2009509;<Hidden Lines>
OdBm::BuiltInCategory::OST_CurtainWallPanelsHiddenLines;-2009510;<Hidden Lines>
OdBm::BuiltInCategory::OST_CurtainWallMullionsHiddenLines;-2009511;<Hidden Lines>
OdBm::BuiltInCategory::OST_GenericModelHiddenLines;-2009512;<Hidden Lines>
OdBm::BuiltInCategory::OST_ShaftOpeningHiddenLines;-2009513;<Hidden Lines>
OdBm::BuiltInCategory::OST_DetailComponentsHiddenLines;-2009514;<Hidden Lines>
OdBm::BuiltInCategory::OST_CaseworkHiddenLines;-2009515;<Hidden Lines>
OdBm::BuiltInCategory::OST_ElectricalEquipmentHiddenLines;-2009516;<Hidden Lines>
OdBm::BuiltInCategory::OST_ElectricalFixturesHiddenLines;-2009517;<Hidden Lines>
OdBm::BuiltInCategory::OST_FurnitureSystemsHiddenLines;-2009518;<Hidden Lines>
OdBm::BuiltInCategory::OST_LightingFixturesHiddenLines;-2009519;<Hidden Lines>
OdBm::BuiltInCategory::OST_MechanicalEquipmentHiddenLines;-2009520;<Hidden Lines>
OdBm::BuiltInCategory::OST_PlumbingFixturesHiddenLines;-2009521;<Hidden Lines>
OdBm::BuiltInCategory::OST_ParkingHiddenLines;-2009522;<Hidden Lines>
OdBm::BuiltInCategory::OST_RoadsHiddenLines;-2009523;<Hidden Lines>
OdBm::BuiltInCategory::OST_SiteHiddenLines;-2009524;<Hidden Lines>
OdBm::BuiltInCategory::OST_StructuralFramingSystemHiddenLines_Obsolete;-2009525;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_TopographyHiddenLines;-2009526;<Hidden Lines>
OdBm::BuiltInCategory::OST_SpecialityEquipmentHiddenLines;-2009527;<Hidden Lines>
OdBm::BuiltInCategory::OST_PlantingHiddenLines;-2009528;<Hidden Lines>
OdBm::BuiltInCategory::OST_EntourageHiddenLines;-2009529;<Hidden Lines>
OdBm::BuiltInCategory::OST_OBSOLETE_ElemArrayHiddenLines;-2009530;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CurtaSystemHiddenLines;-2009531;<Hidden Lines>
OdBm::BuiltInCategory::OST_MassHiddenLines;-2009532;<Hidden Lines>
OdBm::BuiltInCategory::OST_Truss;-2009600;Structural Trusses
OdBm::BuiltInCategory::OST_TrussDiagWebCurve;-2009601;Web
OdBm::BuiltInCategory::OST_TrussVertWebCurve;-2009602;Web
OdBm::BuiltInCategory::OST_TrussTopChordCurve;-2009603;Top Chord
OdBm::BuiltInCategory::OST_TrussBottomChordCurve;-2009604;Bottom Chord
OdBm::BuiltInCategory::OST_TrussWeb;-2009605;Web
OdBm::BuiltInCategory::OST_TrussChord;-2009606;Chord
OdBm::BuiltInCategory::OST_StructuralTrussHiddenLines;-2009607;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StructuralTrussStickSymbols;-2009608;Stick Symbols
OdBm::BuiltInCategory::OST_SunStudy;-2009609;Sun Path
OdBm::BuiltInCategory::OST_Sun;-2009610;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_SunPath1;-2009611;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_SunPath2;-2009612;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CompassInner;-2009613;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_SunriseText;-2009614;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CompassOuter;-2009615;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CompassSection;-2009616;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_SunsetText;-2009617;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Analemma;-2009618;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_SunSurface;-2009619;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MultiSurface;-2009620;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_LightLine;-2009621;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CompassSectionFilled;-2009622;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CompassPrimaryMonth;-2009623;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CompassSecondaryMonth;-2009624;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BeamAnalytical;-2009630;Analytical Beams
OdBm::BuiltInCategory::OST_BeamStartSegment;-2009631;Start Segment
OdBm::BuiltInCategory::OST_BeamEndSegment;-2009632;End Segment
OdBm::BuiltInCategory::OST_BraceAnalytical;-2009633;Analytical Braces
