NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameterGroup::PG_LENGTH;-5000194;Length
OdBm::BuiltInParameterGroup::PG_SPLIT_PROFILE_DIMENSIONS;-5000195;Dimensions     (linear units or % of thickness)
OdBm::BuiltInParameterGroup::PG_STAIRS_CALCULATOR_RULES;-5000196;Calculation Rules
OdBm::BuiltInParameterGroup::PG_STAIRS_TREADS_RISERS;-5000197;Threads/Risers
OdBm::BuiltInParameterGroup::PG_TERMINATION;-5000198;Terminations
OdBm::BuiltInParameterGroup::PG_RAILING_SYSTEM_SECONDARY_FAMILY_HANDRAILS;-5000199;Handrail 2
OdBm::BuiltInParameterGroup::PG_STAIRS_OPEN_END_CONNECTION;-5000200;End Connection
OdBm::BuiltInParameterGroup::PG_STAIRS_SUPPORTS;-5000201;Supports
OdBm::BuiltInParameterGroup::PG_STAIRS_WINDERS;-5000202;Winders
OdBm::BuiltInParameterGroup::PG_CONTINUOUSRAIL_BEGIN_BOTTOM_EXTENSION;-5000203;Extension (Beginning/Bottom)
OdBm::BuiltInParameterGroup::PG_CONTINUOUSRAIL_END_TOP_EXTENSION;-5000204;Extension (End/Top)
OdBm::BuiltInParameterGroup::PG_SEGMENTS_FITTINGS;-5000205;Segments and Fittings
OdBm::BuiltInParameterGroup::PG_DIVISION_GEOMETRY;-5000206;Division Geometry
OdBm::BuiltInParameterGroup::PG_GEOMETRY_POSITIONING;-5000207;Geometric Position
OdBm::BuiltInParameterGroup::PG_REFERENCE;-5000208;Reference
OdBm::BuiltInParameterGroup::PG_FABRICATION_PRODUCT_DATA;-5000210;Fabrication Product Data
OdBm::BuiltInParameterGroup::PG_FORCES;-5000211;Forces
OdBm::BuiltInParameterGroup::PG_MOMENTS;-5000212;Moments
OdBm::BuiltInParameterGroup::PG_PRIMARY_END;-5000213;Primary End
OdBm::BuiltInParameterGroup::PG_SECONDARY_END;-5000214;Secondary End
OdBm::BuiltInParameterGroup::PG_RELEASES_MEMBER_FORCES;-5000216;Releases / Member Forces
OdBm::BuiltInParameterGroup::PG_ENERGY_ANALYSIS_ADVANCED;-5000217;Advanced
OdBm::BuiltInParameterGroup::PG_COUPLER_ARRAY;-5000218;Set
OdBm::BuiltInParameterGroup::PG_ENERGY_ANALYSIS_BUILDING_DATA;-5000219;Building Data
OdBm::BuiltInParameterGroup::PG_ENERGY_ANALYSIS_ROOM_SPACE_DATA;-5000220;Room/Space Data
OdBm::BuiltInParameterGroup::PG_ENERGY_ANALYSIS_BLDG_CONS_MTL_THERMAL_PROPS;-5000221;Material Thermal Properties
OdBm::BuiltInParameterGroup::PG_STRUCTURAL_SECTION_GEOMETRY;-5000225;Structural Section Geometry
OdBm::BuiltInParameterGroup::PG_GEO_LOCATION;-5000226;Geolocation
OdBm::BuiltInParameterGroup::PG_ROUTE_ANALYSIS;-5000227;Route Analysis
OdBm::BuiltInParameterGroup::PG_WALL_CROSS_SECTION;-5000228;Cross Section Properties
OdBm::BuiltInParameterGroup::PG_PRIMARY_UNITS;-5000229;Primary Units
OdBm::BuiltInParameterGroup::PG_ALTERNATE_UNITS;-5000230;Alternate Units
OdBm::BuiltInParameterGroup::PG_ELECTRICAL_ANALYSIS;-5000231;Electrical Analysis
