NAME(Used only as reminder for value);VALUE;LABEL
OdBm::ParameterType::WeightPerUnitLength;216;Weight per Unit Length
OdBm::ParameterType::HVACThermalConductivity;217;Thermal Conductivity
OdBm::ParameterType::HVACSpecificHeat;218;Specific Heat
OdBm::ParameterType::HVACSpecificHeatOfVaporization;219;Specific Heat of Vaporization
OdBm::ParameterType::HVACPermeability;220;Permeability
OdBm::ParameterType::ElectricalResistivity;221;Electrical Resistivity
OdBm::ParameterType::MassDensity;222;Mass Density
OdBm::ParameterType::MassPerUnitArea;223;Mass per Unit Area
OdBm::ParameterType::PipeDimension;224;Pipe Dimension
OdBm::ParameterType::PipeMass;225;Mass
OdBm::ParameterType::PipeMassPerUnitLength;226;Mass per Unit Length
OdBm::ParameterType::HVACTemperatureDifference;227;Temperature Difference
OdBm::ParameterType::PipingTemperatureDifference;228;Temperature Difference
OdBm::ParameterType::ElectricalTemperatureDifference;229;Temperature Difference
OdBm::ParameterType::TimeInterval;230;Time
OdBm::ParameterType::Speed;231;Speed
OdBm::ParameterType::Stationing;232;Stationing
