FORGETYPEID;LABEL
autodesk.unit.unit:kilogramsForcePerMeter-1.0.1;Kilograms force per meter
autodesk.unit.unit:tonnesForcePerMeter-1.0.1;Tonnes force per meter
autodesk.unit.unit:poundsForcePerFoot-1.0.1;Pounds force per foot
autodesk.unit.unit:newtonsPerSquareMeter-1.0.1;Newtons per square meter
autodesk.unit.unit:dekanewtonsPerSquareMeter-1.0.1;Dekanewtons per square meter
autodesk.unit.unit:kilonewtonsPerSquareMeter-1.0.1;Kilonewtons per square meter
autodesk.unit.unit:meganewtonsPerSquareMeter-1.0.1;Meganewtons per square meter
autodesk.unit.unit:kipsPerSquareFoot-1.0.1;Kips per square foot
autodesk.unit.unit:kilogramsForcePerSquareMeter-1.0.1;Kilograms force per square meter
autodesk.unit.unit:tonnesForcePerSquareMeter-1.0.1;Tonnes force per square meter
autodesk.unit.unit:poundsForcePerSquareFoot-1.0.1;Pounds force per square foot
autodesk.unit.unit:newtonMeters-1.0.1;Newton meters
autodesk.unit.unit:dekanewtonMeters-1.0.1;Dekanewton meters
autodesk.unit.unit:kilonewtonMeters-1.0.1;Kilonewton meters
autodesk.unit.unit:meganewtonMeters-1.0.1;Meganewton meters
autodesk.unit.unit:kipFeet-1.0.1;Kip feet
autodesk.unit.unit:kilogramForceMeters-1.0.1;Kilogram force meters
autodesk.unit.unit:tonneForceMeters-1.0.1;Tonne force meters
autodesk.unit.unit:poundForceFeet-1.0.1;Pound force feet
autodesk.unit.unit:metersPerKilonewton-1.0.0;Meters per kilonewton
autodesk.unit.unit:feetPerKip-1.0.0;Feet per kip
autodesk.unit.unit:squareMetersPerKilonewton-1.0.1;Square meters per kilonewton
autodesk.unit.unit:squareFeetPerKip-1.0.1;Square feet per kip
autodesk.unit.unit:cubicMetersPerKilonewton-1.0.1;Cubic meters per kilonewton
autodesk.unit.unit:cubicFeetPerKip-1.0.1;Cubic feet per kip
autodesk.unit.unit:inverseKilonewtons-1.0.0;Inverse kilonewtons
autodesk.unit.unit:inverseKips-1.0.0;Inverse kips
autodesk.unit.unit:feetOfWater39.2DegreesFahrenheitPer100Feet-1.0.1;Feet of water (39.2 °F) per 100 feet
autodesk.unit.unit:feetOfWater39.2DegreesFahrenheit-1.0.1;Feet of water (39.2 °F)
autodesk.unit.unit:pascalSeconds-1.0.1;Pascal seconds
autodesk.unit.unit:poundsMassPerFootSecond-1.0.1;Pounds mass per foot second
autodesk.unit.unit:centipoises-1.0.1;Centipoises
autodesk.unit.unit:feetPerSecond-1.0.1;Feet per second
autodesk.unit.unit:kipsPerSquareInch-1.0.1;Kips per square inch
autodesk.unit.unit:kilonewtonsPerCubicMeter-1.0.1;Kilonewtons per cubic meter
autodesk.unit.unit:poundsForcePerCubicFoot-1.0.1;Pounds force per cubic foot
autodesk.unit.unit:kipsPerCubicInch-1.0.1;Kips per cubic inch
autodesk.unit.unit:inverseDegreesFahrenheit-1.0.1;Inverse degrees Fahrenheit
autodesk.unit.unit:inverseDegreesCelsius-1.0.1;Inverse degrees Celsius
autodesk.unit.unit:newtonMetersPerMeter-1.0.1;Newton meters per meter
autodesk.unit.unit:dekanewtonMetersPerMeter-1.0.1;Dekanewton meters per meter
autodesk.unit.unit:kilonewtonMetersPerMeter-1.0.1;Kilonewton meters per meter
autodesk.unit.unit:meganewtonMetersPerMeter-1.0.1;Meganewton meters per meter
autodesk.unit.unit:kipFeetPerFoot-1.0.1;Kip feet per foot
autodesk.unit.unit:kilogramForceMetersPerMeter-1.0.1;Kilogram force meters per meter
autodesk.unit.unit:tonneForceMetersPerMeter-1.0.1;Tonne force meters per meter
autodesk.unit.unit:poundForceFeetPerFoot-1.0.1;Pound force feet per foot
autodesk.unit.unit:poundsMassPerFootHour-1.0.1;Pounds mass per foot hour
autodesk.unit.unit:kipsPerInch-1.0.1;Kips per inch
autodesk.unit.unit:kipsPerCubicFoot-1.0.1;Kips per cubic foot
autodesk.unit.unit:kipFeetPerDegree-1.0.1;Kip feet per degree
autodesk.unit.unit:kilonewtonMetersPerDegree-1.0.1;Kilonewton meters per degree
autodesk.unit.unit:kipFeetPerDegreePerFoot-1.0.1;Kip feet per degree per foot
autodesk.unit.unit:kilonewtonMetersPerDegreePerMeter-1.0.1;Kilonewton meters per degree per meter
autodesk.unit.unit:wattsPerSquareMeterKelvin-1.0.1;Watts per square meter kelvin
autodesk.unit.unit:britishThermalUnitsPerHourSquareFootDegreeFahrenheit-1.0.1;British thermal units per hour square foot degree Fahrenheit
autodesk.unit.unit:cubicFeetPerMinuteSquareFoot-1.0.1;Cubic feet per minute square foot
autodesk.unit.unit:litersPerSecondSquareMeter-1.0.1;Liters per second square meter
autodesk.unit.unit:ratioTo10-1.0.1;Ratio : 10
autodesk.unit.unit:ratioTo12-1.0.1;Ratio : 12
autodesk.unit.unit:slopeDegrees-1.0.0;Degrees
autodesk.unit.unit:riseDividedBy12Inches-1.0.1;Rise / 12 inches
autodesk.unit.unit:riseDividedBy1Foot-1.0.1;Rise / 1 foot
autodesk.unit.unit:riseDividedBy1000Millimeters-1.0.1;Rise / 1000 millimeters
autodesk.unit.unit:wattsPerCubicFoot-1.0.1;Watts per cubic foot
autodesk.unit.unit:wattsPerCubicMeter-1.0.1;Watts per cubic meter
autodesk.unit.unit:britishThermalUnitsPerHourSquareFoot-1.0.1;British thermal units per hour square foot
autodesk.unit.unit:britishThermalUnitsPerHourCubicFoot-1.0.1;British thermal units per hour cubic foot
autodesk.unit.unit:tonsOfRefrigeration-1.0.1;Tons of refrigeration
autodesk.unit.unit:cubicFeetPerMinuteCubicFoot-1.0.1;Cubic feet per minute cubic foot
autodesk.unit.unit:litersPerSecondCubicMeter-1.0.1;Liters per second cubic meter
autodesk.unit.unit:cubicFeetPerMinuteTonOfRefrigeration-1.0.1;Cubic feet per minute ton of refrigeration
autodesk.unit.unit:litersPerSecondKilowatt-1.0.1;Liters per second kilowatt
