NAME(Used only as reminder for value);VALUE;LABEL
OdBm::FamilyName::DBView_Walkthrough;41;Walkthrough
OdBm::FamilyName::DBViews_Walkthrough;42;Walkthroughs
OdBm::FamilyName::DBView_ImageView;43;Rendering
OdBm::FamilyName::DBViews_ImageView;44;Renderings
OdBm::FamilyName::DBView_Schedule;45;Schedule
OdBm::FamilyName::DBViews_Schedule;46;Schedules
OdBm::FamilyName::DBView_CostReport;47;Cost Report
OdBm::FamilyName::DBViews_CostReport;48;Cost Reports
OdBm::FamilyName::DBView_Sheet;49;Sheet
OdBm::FamilyName::DBViews_Sheet;50;Sheets
OdBm::FamilyName::DBView_Drafting;51;Drafting View
OdBm::FamilyName::DBViews_Drafting;52;Drafting Views
OdBm::FamilyName::DBView_FloorPlan;53;Floor Plan
OdBm::FamilyName::DBViews_FloorPlan;54;Floor Plans
OdBm::FamilyName::DBView_AreaPlan;55;Area Plan
OdBm::FamilyName::DBViews_AreaPlan;56;Area Plans
OdBm::FamilyName::DBView_CeilingPlan;57;Ceiling Plan
OdBm::FamilyName::DBViews_CeilingPlan;58;Ceiling Plans
OdBm::FamilyName::DBView_Section;59;Section
OdBm::FamilyName::DBViews_Section;60;Sections
OdBm::FamilyName::DBView_Detail;61;Detail View
OdBm::FamilyName::DBViews_Detail;62;Detail Views
OdBm::FamilyName::DBView_Elevation;63;Elevation
OdBm::FamilyName::DBViews_Elevation;64;Elevations
OdBm::FamilyName::DBView_LoadsReport;65;Loads Report
OdBm::FamilyName::DBViews_LoadsReport;66;Loads Reports
OdBm::FamilyName::DBView_PressureLossReport;67;Pressure Loss Report
OdBm::FamilyName::DBViews_PressureLossReport;68;Pressure Loss Reports
OdBm::FamilyName::DBView_Legend;69;Legend
OdBm::FamilyName::DBViews_Legend;70;Legends
OdBm::FamilyName::DBView_PanelSchedule;71;Panel Schedule
OdBm::FamilyName::DBViews_PanelSchedule;72;Panel Schedules
OdBm::FamilyName::DBView_GraphicalColumnSchedule;73;Graphical Column Schedule
OdBm::FamilyName::DBViews_GraphicalColumnSchedule;74;Graphical Column Schedules
OdBm::FamilyName::DBView_StructuralPlan;75;Structural Plan
OdBm::FamilyName::DBViews_StructuralPlan;76;Structural Plans
OdBm::FamilyName::RebarBarType;77;Rebar Bar
OdBm::FamilyName::DBView_AnalysisReport;78;Analysis Report
OdBm::FamilyName::DBViews_AnalysisReport;79;Analysis Reports
OdBm::FamilyName::RebarShape;80;Rebar Shape
OdBm::FamilyName::RbsPipeType;81;Pipe Types
OdBm::FamilyName::RbsCableTrayTypeWithFittings;82;Cable Tray with Fittings
OdBm::FamilyName::RbsConduitTypeWithFittings;83;Conduit with Fittings
OdBm::FamilyName::AbsFlexDuctType_Regular;84;Flex Duct Rectangular
OdBm::FamilyName::AnalyticalLinkType;85;Analytical Link
OdBm::FamilyName::AnalyticalModelBeam;86;
OdBm::FamilyName::AppearanceAssetElem;87;System-Zones
OdBm::FamilyName::AreaLoadType;88;Area Loads
OdBm::FamilyName::AreaReinforcementType;89;Structural Area Reinforcement
OdBm::FamilyName::AssemblyType_Parts;90;Parts Assembly
OdBm::FamilyName::BrowserOrganization_Views;91;Browser - Views
OdBm::FamilyName::CalloutTag;92;Callout Tag
OdBm::FamilyName::CategoryElem;93;Mechanical Equipment Sets
OdBm::FamilyName::ColorFillSymbol;94;Color Fill Legend
OdBm::FamilyName::ComponentRepeaterSlotSpecialType;95; Repeated Component Type
OdBm::FamilyName::ConceptualConstructionType_Wall;96;Mass Walls
OdBm::FamilyName::ConduitFittingCenterLine;97;Conduit Elbow - without Fittings1
OdBm::FamilyName::ConduitStandardType;98;Conduit Standard Types
OdBm::FamilyName::ConstructionSet;99;Construction Types
OdBm::FamilyName::ConstructionSetProject;100;Construction Types
OdBm::FamilyName::CorniceAttr;101;Wall Sweep
OdBm::FamilyName::CoverType;102;Rebar Cover Settings
OdBm::FamilyName::CutMarkType;103;Stair Cut Mark
OdBm::FamilyName::DecalType;104;Decal
OdBm::FamilyName::DimensionStyle_Linear;105;Linear Dimension Style
OdBm::FamilyName::DirectShapeType;106;Coordination Model
