NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_TYPE;-1140018;System Type
OdBm::BuiltInParameter::RBS_ELEC_AMBIENT_TEMPERATURE;-1140020;Ambient Temperature
OdBm::BuiltInParameter::RBS_WIRE_CONDUIT_TYPE_PARAM;-1140021;Conduit Type
OdBm::BuiltInParameter::RBS_WIRE_NEUTRAL_MODE_PARAM;-1140022;Neutral Size
OdBm::BuiltInParameter::RBS_WIRE_NEUTRAL_INCLUDED_IN_BALANCED_LOAD_PARAM;-1140023;Neutral Included in Balanced Load
OdBm::BuiltInParameter::RBS_WIRE_NEUTRAL_MULTIPLIER_PARAM;-1140024;Neutral Multiplier
OdBm::BuiltInParameter::RBS_WIRE_MAX_CONDUCTOR_SIZE_PARAM;-1140025;Max Size
OdBm::BuiltInParameter::RBS_WIRE_INSULATION_PARAM;-1140026;Insulation
OdBm::BuiltInParameter::RBS_WIRE_TEMPERATURE_RATING_PARAM;-1140027;Temperature Rating
OdBm::BuiltInParameter::RBS_WIRE_MATERIAL_PARAM;-1140028;Material
OdBm::BuiltInParameter::RBS_ELEC_ROOM_LIGHTING_CALC_WORKPLANE;-1140029;Lighting Calculation Workplane
OdBm::BuiltInParameter::RBS_ELEC_ROOM_REFLECTIVITY_CEILING;-1140030;Ceiling Reflectance
OdBm::BuiltInParameter::RBS_ELEC_ROOM_REFLECTIVITY_WALLS;-1140031;Wall Reflectance
OdBm::BuiltInParameter::RBS_ELEC_ROOM_REFLECTIVITY_FLOOR;-1140032;Floor Reflectance
OdBm::BuiltInParameter::RBS_ELEC_ROOM_AVERAGE_ILLUMINATION;-1140033;Average Estimated Illumination
OdBm::BuiltInParameter::FBX_LIGHT_PHOTOMETRIC_FILE;-1140034;Photometric Web File
OdBm::BuiltInParameter::RBS_ELEC_ROOM_CAVITY_RATIO;-1140035;Room Cavity Ratio
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_WIRE_TYPE_PARAM;-1140036;Wire Type
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_WIRE_SIZE_PARAM;-1140037;Wire Size
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_RATING_PARAM;-1140038;Rating
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_LENGTH_PARAM;-1140039;Length
OdBm::BuiltInParameter::RBS_ELEC_CALC_COEFFICIENT_UTILIZATION;-1140040;Calculate Coefficient of Utilization
OdBm::BuiltInParameter::RBS_ELEC_VOLTAGE_DROP_PARAM;-1140041;Voltage Drop
