NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameter::WALL_ATTR_WIDTH_PARAM;-1001000;Width
OdBm::BuiltInParameter::WALL_ATTR_HEIGHT_PARAM;-1001001;Height
OdBm::BuiltInParameter::WALL_ATTR_DEFHEIGHT_PARAM;-1001002;Default height
OdBm::BuiltInParameter::FUNCTION_PARAM;-1001006;Function
OdBm::BuiltInParameter::WALL_ATTR_ROOM_BOUNDING;-1001007;Room Bounding
OdBm::BuiltInParameter::ALLOW_AUTO_EMBED;-1001009;Automatically Embed
OdBm::BuiltInParameter::WALL_BASE_HEIGHT_PARAM;-1001102;Base height
OdBm::BuiltInParameter::WALL_HEIGHT_TYPE;-1001103;Top Constraint
OdBm::BuiltInParameter::WALL_USER_HEIGHT_PARAM;-1001105;Unconnected Height
OdBm::BuiltInParameter::WALL_BASE_CONSTRAINT;-1001107;Base Constraint
OdBm::BuiltInParameter::WALL_BASE_OFFSET;-1001108;Base Offset
OdBm::BuiltInParameter::WALL_TOP_OFFSET;-1001109;Top Offset
OdBm::BuiltInParameter::WALL_TOP_IS_ATTACHED;-1001117;Top is Attached
OdBm::BuiltInParameter::WALL_BOTTOM_IS_ATTACHED;-1001118;Base is Attached
OdBm::BuiltInParameter::WALL_STRUCTURAL_USAGE_PARAM;-1001119;Structural Usage
OdBm::BuiltInParameter::MEASURE_FROM_STRUCTURE;-1001120;Extend into wall (to core)
OdBm::BuiltInParameter::WALL_KEY_REF_PARAM;-1001122;Location Line
OdBm::BuiltInParameter::WALL_LOCATION_LINE_OFFSET_PARAM;-1001123;Location Line Offset
OdBm::BuiltInParameter::HOST_PANEL_SCHEDULE_AS_PANEL_PARAM;-1001124;Categorize as
OdBm::BuiltInParameter::DPART_ORIGINAL_CATEGORY;-1001125;Original Category
OdBm::BuiltInParameter::DPART_ORIGINAL_FAMILY;-1001126;Original Family
OdBm::BuiltInParameter::DPART_MATERIAL_ID_PARAM;-1001127;Material
OdBm::BuiltInParameter::DPART_MATERIAL_BY_ORIGINAL;-1001128;Material By Original
OdBm::BuiltInParameter::DPART_VOLUME_COMPUTED;-1001129;Volume
OdBm::BuiltInParameter::DPART_LAYER_FUNCTION;-1001130;Layer Function
OdBm::BuiltInParameter::OFFSETFACES_SHOW_SHAPE_HANDLES;-1001131;Show Shape Handles
OdBm::BuiltInParameter::DPART_ORIGINAL_TYPE;-1001132;Original Type
OdBm::BuiltInParameter::DPART_AREA_COMPUTED;-1001133;Area
OdBm::BuiltInParameter::DPART_LAYER_WIDTH;-1001134;Thickness
OdBm::BuiltInParameter::DPART_HEIGHT_COMPUTED;-1001135;Height
OdBm::BuiltInParameter::DPART_LENGTH_COMPUTED;-1001136;Length
OdBm::BuiltInParameter::DPART_PHASE_CREATED_BY_ORIGINAL;-1001137;Phase Created By Original
OdBm::BuiltInParameter::DPART_PHASE_DEMOLISHED_BY_ORIGINAL;-1001138;Phase Demolished By Original
OdBm::BuiltInParameter::DPART_LAYER_CONSTRUCTION;-1001139;Construction
OdBm::BuiltInParameter::DPART_ORIGINAL_CATEGORY_ID;-1001140;Original Category
OdBm::BuiltInParameter::ALL_MODEL_MARK;-1001203;Mark
OdBm::BuiltInParameter::ALL_MODEL_COST;-1001205;Cost
OdBm::BuiltInParameter::FIRE_RATING;-1001206;Fire Rating
OdBm::BuiltInParameter::DOOR_CONSTRUCTION_TYPE;-1001207;Construction Type
OdBm::BuiltInParameter::GENERIC_FINISH;-1001208;Finish
OdBm::BuiltInParameter::DOOR_FRAME_TYPE;-1001209;Frame Type
OdBm::BuiltInParameter::DOOR_FRAME_MATERIAL;-1001210;Frame Material
OdBm::BuiltInParameter::DOOR_OPERATION_TYPE;-1001211;Operation
OdBm::BuiltInParameter::GENERIC_HEIGHT;-1001300;Height
OdBm::BuiltInParameter::GENERIC_WIDTH;-1001301;Width
OdBm::BuiltInParameter::FAMILY_THICKNESS_PARAM;-1001302;Thickness
OdBm::BuiltInParameter::FAMILY_WINDOW_INSET_PARAM;-1001303;Inset
OdBm::BuiltInParameter::FAMILY_ROUGH_HEIGHT_PARAM;-1001304;Rough Height
OdBm::BuiltInParameter::FAMILY_ROUGH_WIDTH_PARAM;-1001305;Rough Width
OdBm::BuiltInParameter::FAMILY_LINE_LENGTH_PARAM;-1001306;Length
OdBm::BuiltInParameter::FAMILY_WPB_DEFAULT_ELEVATION;-1001320;Default Elevation
OdBm::BuiltInParameter::FAMILY_USAGE_PSEUDO_PARAM;-1001335;Usage
OdBm::BuiltInParameter::FAMILY_NAME_PSEUDO_PARAM;-1001336;Family
OdBm::BuiltInParameter::FAMILY_CATEGORY_PSEUDO_PARAM;-1001337;Category
OdBm::BuiltInParameter::FAMILY_RFA_PATH_PSEUDO_PARAM;-1001338;File Path
OdBm::BuiltInParameter::FAMILY_BASE_LEVEL_PARAM;-1001350;Base Level
OdBm::BuiltInParameter::FAMILY_TOP_LEVEL_PARAM;-1001351;Top Level
OdBm::BuiltInParameter::FAMILY_LEVEL_PARAM;-1001352;Level
OdBm::BuiltInParameter::FAMILY_BASE_LEVEL_OFFSET_PARAM;-1001357;Base Offset
OdBm::BuiltInParameter::FAMILY_TOP_LEVEL_OFFSET_PARAM;-1001358;Top Offset
OdBm::BuiltInParameter::INSTANCE_ELEVATION_PARAM;-1001360;Elevation from Level
OdBm::BuiltInParameter::INSTANCE_SILL_HEIGHT_PARAM;-1001361;Sill Height
OdBm::BuiltInParameter::INSTANCE_HEAD_HEIGHT_PARAM;-1001362;Head Height
OdBm::BuiltInParameter::INSTANCE_FREE_HOST_PARAM;-1001363;Host
OdBm::BuiltInParameter::INSTANCE_FREE_HOST_OFFSET_PARAM;-1001364;Offset from Host
OdBm::BuiltInParameter::INSTANCE_SCHEDULE_ONLY_LEVEL_PARAM;-1001365;Schedule Level
OdBm::BuiltInParameter::INSTANCE_OFFSET_POS_PARAM;-1001370;Moves With Nearby Elements
OdBm::BuiltInParameter::INSTANCE_MOVES_WITH_GRID_PARAM;-1001371;Moves With Grids
OdBm::BuiltInParameter::INSTANCE_LENGTH_PARAM;-1001375;Length
OdBm::BuiltInParameter::SKETCH_PLANE_PARAM;-1001380;Work Plane
OdBm::BuiltInParameter::INSTANCE_STRUCT_USAGE_PARAM;-1001381;Structural Usage
OdBm::BuiltInParameter::INSTANCE_REFERENCE_LEVEL_PARAM;-1001383;Reference Level
OdBm::BuiltInParameter::STRUCTURAL_FRAME_CUT_LENGTH;-1001384;Cut Length
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_START_TYPE;-1001385;Start Attachment Type
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_END_TYPE;-1001386;End Attachment Type
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_START_VALUE_DISTANCE;-1001387;Start Attachment Distance
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_END_VALUE_DISTANCE;-1001388;End Attachment Distance
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_START_REFELEMENT_END;-1001389;Start of Attachment to Reference Element
OdBm::BuiltInParameter::TYPE_WALL_CLOSURE;-1001390;Wall Closure
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_END_REFELEMENT_END;-1001391;End of Attachment to Reference Element
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_START_VALUE_RATIO;-1001392;Start Attachment Ratio
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_END_VALUE_RATIO;-1001393;End attachment ratio
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_START_LEVEL_REFERENCE;-1001395;Start Attachment Level Reference
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_END_LEVEL_REFERENCE;-1001396;End Attachment Level Reference
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_START_VALUE_ELEVATION;-1001397;Start Attachment Elevation
OdBm::BuiltInParameter::STRUCTURAL_ATTACHMENT_END_VALUE_ELEVATION;-1001398;End Attachment Elevation
OdBm::BuiltInParameter::ALL_MODEL_TYPE_MARK;-1001405;Type Mark
OdBm::BuiltInParameter::STRUCTURAL_BEAM_START_SUPPORT;-1001501;Beam Start Pocket Seat
OdBm::BuiltInParameter::STRUCTURAL_BEAM_END_SUPPORT;-1001502;Beam End Pocket Seat
OdBm::BuiltInParameter::STRUCTURAL_STICK_SYMBOL_LOCATION;-1001503;Stick Symbol Location
OdBm::BuiltInParameter::STRUCTURAL_BRACE_REPRESENTATION;-1001507;Representation Type
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_PROJECT_MEMBER_PLANE;-1001508;Vertical Projection
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_PROJECT_FLOOR_PLANE;-1001510;Vertical Projection
OdBm::BuiltInParameter::STRUCTURAL_WALL_PROJECTION_SURFACE;-1001512;Horizontal Projection
OdBm::BuiltInParameter::STRUCTURAL_WALL_TOP_PROJECTION_PLANE;-1001513;Top Vertical Projection
OdBm::BuiltInParameter::STRUCTURAL_WALL_BOTTOM_PROJECTION_PLANE;-1001514;Bottom Vertical Projection
OdBm::BuiltInParameter::STRUCTURAL_START_RELEASE_TYPE;-1001515;Start Release
OdBm::BuiltInParameter::STRUCTURAL_END_RELEASE_TYPE;-1001516;End Release
OdBm::BuiltInParameter::STRUCTURAL_START_RELEASE_FX;-1001517;Start Fx
OdBm::BuiltInParameter::STRUCTURAL_START_RELEASE_FY;-1001518;Start Fy
OdBm::BuiltInParameter::STRUCTURAL_START_RELEASE_FZ;-1001519;Start Fz
OdBm::BuiltInParameter::STRUCTURAL_START_RELEASE_MX;-1001520;Start Mx
OdBm::BuiltInParameter::STRUCTURAL_START_RELEASE_MY;-1001521;Start My
OdBm::BuiltInParameter::STRUCTURAL_START_RELEASE_MZ;-1001522;Start Mz
OdBm::BuiltInParameter::STRUCTURAL_END_RELEASE_FX;-1001523;End Fx
OdBm::BuiltInParameter::STRUCTURAL_END_RELEASE_FY;-1001524;End Fy
OdBm::BuiltInParameter::STRUCTURAL_END_RELEASE_FZ;-1001525;End Fz
OdBm::BuiltInParameter::STRUCTURAL_END_RELEASE_MX;-1001526;End Mx
OdBm::BuiltInParameter::STRUCTURAL_END_RELEASE_MY;-1001527;End My
OdBm::BuiltInParameter::STRUCTURAL_END_RELEASE_MZ;-1001528;End Mz
OdBm::BuiltInParameter::STRUCTURAL_NUMBER_OF_STUDS;-1001529;Number of studs
OdBm::BuiltInParameter::STRUCTURAL_CAMBER;-1001530;Camber Size
OdBm::BuiltInParameter::STRUCTURAL_MATERIAL_TYPE;-1001531;Structural Material Type
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_PROJECT_MEMBER_PLANE_COLUMN_TOP;-1001534;Top Vertical Projection
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_PROJECT_MEMBER_PLANE_COLUMN_BOTTOM;-1001535;Bottom Vertical Projection
OdBm::BuiltInParameter::STRUCTURAL_TOP_RELEASE_TYPE;-1001536;Top Release
OdBm::BuiltInParameter::STRUCTURAL_BOTTOM_RELEASE_TYPE;-1001537;Base Release
OdBm::BuiltInParameter::STRUCTURAL_TOP_RELEASE_FX;-1001538;Top Fx
OdBm::BuiltInParameter::STRUCTURAL_TOP_RELEASE_FY;-1001539;Top Fy
OdBm::BuiltInParameter::STRUCTURAL_TOP_RELEASE_FZ;-1001540;Top Fz
OdBm::BuiltInParameter::STRUCTURAL_TOP_RELEASE_MX;-1001541;Top Mx
OdBm::BuiltInParameter::STRUCTURAL_TOP_RELEASE_MY;-1001542;Top My
OdBm::BuiltInParameter::STRUCTURAL_TOP_RELEASE_MZ;-1001543;Top Mz
OdBm::BuiltInParameter::STRUCTURAL_BOTTOM_RELEASE_FX;-1001544;Base Fx
OdBm::BuiltInParameter::STRUCTURAL_BOTTOM_RELEASE_FY;-1001545;Base Fy
OdBm::BuiltInParameter::STRUCTURAL_BOTTOM_RELEASE_FZ;-1001546;Base Fz
OdBm::BuiltInParameter::STRUCTURAL_BOTTOM_RELEASE_MX;-1001547;Base Mx
OdBm::BuiltInParameter::STRUCTURAL_BOTTOM_RELEASE_MY;-1001548;Base My
OdBm::BuiltInParameter::STRUCTURAL_BOTTOM_RELEASE_MZ;-1001549;Base Mz
OdBm::BuiltInParameter::FAMILY_STRUCT_MATERIAL_TYPE;-1001550;Material for Model Behavior
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_COLUMN_RIGID_LINK;-1001551;Analytical Links
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_MODEL;-1001552;Enable Analytical Model
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_TOP_TOE;-1001553;Toe Length
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_BOTTOM_TOE;-1001554;Bottom Toe Length
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_TOP_HEEL;-1001555;Heel Length
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_BOTTOM_HEEL;-1001556;Bottom Heel Length
OdBm::BuiltInParameter::STRUCTURAL_FOUNDATION_THICKNESS;-1001557;Foundation Thickness
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_WIDTH;-1001558;Width
OdBm::BuiltInParameter::STRUCTURAL_COPING_DISTANCE;-1001559;Coping Distance
OdBm::BuiltInParameter::FAMILY_STRUCT_FOOTING_USE_CAP_TOP;-1001560;Cap
OdBm::BuiltInParameter::STRUCTURAL_ELEVATION_AT_BOTTOM;-1001561;Elevation at Bottom
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_BEARING_WIDTH;-1001562;Width
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_STRUCTURAL_USAGE;-1001563;Structural Usage
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_ECCENTRICITY;-1001564;Eccentricity
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_LENGTH;-1001567;Length
OdBm::BuiltInParameter::STRUCTURAL_FOUNDATION_WIDTH;-1001568;Width
OdBm::BuiltInParameter::STRUCTURAL_FOUNDATION_LENGTH;-1001569;Length
OdBm::BuiltInParameter::FAMILY_EXPORT_AS_GEOMETRY;-1001570;Always export as geometry
OdBm::BuiltInParameter::STRUCTURAL_BEAM_END0_ELEVATION;-1001571;Start Level Offset
OdBm::BuiltInParameter::STRUCTURAL_BEAM_END1_ELEVATION;-1001572;End Level Offset
OdBm::BuiltInParameter::STRUCTURAL_BEAM_ORIENTATION;-1001573;Orientation
OdBm::BuiltInParameter::BEAM_V_JUSTIFICATION_OTHER_VALUE;-1001574;z-Direction Offset Value
OdBm::BuiltInParameter::STRUCTURAL_BEAM_CUTBACK_FOR_COLUMN;-1001575;Beam cutback in plan
OdBm::BuiltInParameter::STRUCTURAL_ANALYZES_AS;-1001576;Analyze As
OdBm::BuiltInParameter::STRUCTURAL_FLOOR_ANALYZES_AS;-1001577;Analyze As
OdBm::BuiltInParameter::STRUCTURAL_DISPLAY_IN_HIDDEN_VIEWS_FRAMING;-1001584;Display in Hidden Views
OdBm::BuiltInParameter::STRUCTURAL_DISPLAY_IN_HIDDEN_VIEWS_COLUMN;-1001585;Display in Hidden Views
OdBm::BuiltInParameter::STRUCTURAL_BEND_DIR_ANGLE;-1001586;Cross-Section Rotation
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_HARD_POINTS;-1001587;Use hard-points
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_TESS_DEVIATION;-1001588;Maximum discretized offset
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_TESSELLATE;-1001589;Approximate curve
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_DEFAULT_END_EXTENSION_LENGTH;-1001591;Default End Extension Length
OdBm::BuiltInParameter::CONTINUOUS_FOOTING_BREAK_AT_INSERTS_DISABLE;-1001592;Do Not Break At Inserts
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_BEAM_HORIZONTAL_PROJECTION_PLANE;-1001593;Horizontal Projection
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_COLUMN_HORIZONTAL_PROJECTION_PLANE;-1001594;Horizontal Projection
OdBm::BuiltInParameter::STRUCTURAL_ANALYTICAL_BEAM_RIGID_LINK;-1001595;Analytical Links
OdBm::BuiltInParameter::WALL_STRUCTURAL_SIGNIFICANT;-1001596;Structural
OdBm::BuiltInParameter::NODE_CONNECTION_STATUS;-1001597;Connection Status
OdBm::BuiltInParameter::STRUCTURAL_ELEVATION_AT_TOP;-1001598;Elevation at Top
OdBm::BuiltInParameter::ROOF_ATTR_DEFAULT_THICKNESS_PARAM;-1001600;Default Thickness
OdBm::BuiltInParameter::ROOF_ATTR_THICKNESS_PARAM;-1001601;Thickness
OdBm::BuiltInParameter::HOST_SSE_CURVED_EDGE_CONDITION_PARAM;-1001603;Curved Edge Condition
OdBm::BuiltInParameter::ROOF_CONSTRAINT_LEVEL_PARAM;-1001651;Reference Level
OdBm::BuiltInParameter::ROOF_CONSTRAINT_OFFSET_PARAM;-1001652;Level Offset
OdBm::BuiltInParameter::STRUCTURAL_REFERENCE_LEVEL_ELEVATION;-1001653;Reference Level Elevation
OdBm::BuiltInParameter::STRUCTURAL_ELEVATION_AT_TOP_CORE;-1001654;Elevation at Top Core
OdBm::BuiltInParameter::STRUCTURAL_ELEVATION_AT_BOTTOM_CORE;-1001655;Elevation at Bottom Core
OdBm::BuiltInParameter::STRUCTURAL_FLOOR_CORE_THICKNESS;-1001656;Core Thickness
OdBm::BuiltInParameter::STRUCTURAL_ELEVATION_AT_TOP_SURVEY;-1001657;Elevation at Top Survey
OdBm::BuiltInParameter::STRUCTURAL_ELEVATION_AT_BOTTOM_SURVEY;-1001658;Elevation at Bottom Survey
OdBm::BuiltInParameter::ROOF_LEVEL_OFFSET_PARAM;-1001701;Base Offset From Level
OdBm::BuiltInParameter::ROOF_UPTO_LEVEL_PARAM;-1001702;Cutoff Level
OdBm::BuiltInParameter::ROOF_UPTO_LEVEL_OFFSET_PARAM;-1001703;Cutoff Offset
OdBm::BuiltInParameter::ACTUAL_MAX_RIDGE_HEIGHT_PARAM;-1001705;Maximum Ridge Height
OdBm::BuiltInParameter::CURVE_WALL_OFFSET;-1001706;Wall offset
OdBm::BuiltInParameter::CURVE_WALL_OFFSET_ROOFS;-1001707;Overhang
OdBm::BuiltInParameter::ROOF_BASE_LEVEL_PARAM;-1001708;Base Level
OdBm::BuiltInParameter::ROOF_RAFTER_OR_TRUSS_PARAM;-1001709;Rafter or Truss
OdBm::BuiltInParameter::ROOF_EAVE_CUT_PARAM;-1001710;Rafter Cut
OdBm::BuiltInParameter::FASCIA_DEPTH_PARAM;-1001711;Fascia Depth
OdBm::BuiltInParameter::RELATED_TO_MASS;-1001713;Related to Mass
OdBm::BuiltInParameter::ROOF_FACES_LOCATION;-1001714;Picked Faces Location
OdBm::BuiltInParameter::FACEROOF_LEVEL_PARAM;-1001715;Reference Level
OdBm::BuiltInParameter::FACEROOF_OFFSET_PARAM;-1001716;Level Offset
OdBm::BuiltInParameter::SCHEDULE_CATEGORY;-1001717;Category
OdBm::BuiltInParameter::SCHEDULE_TYPE_FOR_BROWSER;-1001718;Schedule Type
OdBm::BuiltInParameter::EXTRUSION_START_PARAM;-1001800;Extrusion Start
OdBm::BuiltInParameter::EXTRUSION_END_PARAM;-1001801;Extrusion End
OdBm::BuiltInParameter::REVOLUTION_START_ANGLE;-1001802;Start Angle
OdBm::BuiltInParameter::REVOLUTION_END_ANGLE;-1001803;End Angle
OdBm::BuiltInParameter::BLEND_START_PARAM;-1001804;First End
OdBm::BuiltInParameter::BLEND_END_PARAM;-1001805;Second End
OdBm::BuiltInParameter::EXTRUSION_AUTO_PARAMS;-1001806;Auto ends
OdBm::BuiltInParameter::ELEMENT_IS_CUTTING;-1001807;Solid/Void
OdBm::BuiltInParameter::GEOM_VISIBILITY_PARAM;-1001808;Visibility/Graphics Overrides
OdBm::BuiltInParameter::CURVE_VISIBILITY_PARAM;-1001809;Visibility/Graphics Overrides
OdBm::BuiltInParameter::EXTRUSION_LENGTH;-1001812;Depth
OdBm::BuiltInParameter::PROFILE_OFFSET_X;-1001813;Horizontal Profile Offset
OdBm::BuiltInParameter::PROFILE_OFFSET_Y;-1001814;Vertical Profile Offset
OdBm::BuiltInParameter::PROFILE_FLIPPED_HOR;-1001815;Profile Is Flipped
OdBm::BuiltInParameter::PROFILE_FAM_TYPE;-1001816;Profile
OdBm::BuiltInParameter::PROFILE_ANGLE;-1001817;Angle
OdBm::BuiltInParameter::MODEL_OR_SYMBOLIC;-1001818;Model or Symbolic
OdBm::BuiltInParameter::SWEEP_MAX_SEG_ANGLE;-1001819;Maximum Segment Angle
OdBm::BuiltInParameter::SWEEP_TRAJ_SEGMENTED;-1001820;Trajectory Segmentation
OdBm::BuiltInParameter::FAM_PROFILE_USAGE;-1001821;Profile Usage
OdBm::BuiltInParameter::PROFILE1_OFFSET_X;-1001822;Horizontal Profile Offset
OdBm::BuiltInParameter::PROFILE1_OFFSET_Y;-1001823;Vertical Profile Offset
OdBm::BuiltInParameter::PROFILE1_FLIPPED_HOR;-1001824;Profile Is Flipped
OdBm::BuiltInParameter::PROFILE1_FAM_TYPE;-1001825;Profile
OdBm::BuiltInParameter::PROFILE1_ANGLE;-1001826;Angle
OdBm::BuiltInParameter::PROFILE2_OFFSET_X;-1001827;Horizontal Profile Offset
OdBm::BuiltInParameter::PROFILE2_OFFSET_Y;-1001828;Vertical Profile Offset
OdBm::BuiltInParameter::PROFILE2_FLIPPED_HOR;-1001829;Profile Is Flipped
OdBm::BuiltInParameter::PROFILE2_FAM_TYPE;-1001830;Profile
OdBm::BuiltInParameter::PROFILE2_ANGLE;-1001831;Angle
OdBm::BuiltInParameter::PROFILE_FAM_TYPE_PLUS_NONE;-1001832;Profile
OdBm::BuiltInParameter::PROFILE_PARAM_ALONG_PATH;-1001833;Parameter along path
OdBm::BuiltInParameter::FLOOR_ATTR_THICKNESS_PARAM;-1001900;Thickness
OdBm::BuiltInParameter::FLOOR_ATTR_DEFAULT_THICKNESS_PARAM;-1001902;Default Thickness
OdBm::BuiltInParameter::FLOOR_ATTR_DEFAULT_HEIGHT_PARAM;-1001903;Default Height above level
OdBm::BuiltInParameter::FLOOR_HEIGHTABOVELEVEL_PARAM;-1001951;Height Offset From Level
OdBm::BuiltInParameter::LEVEL_PARAM;-1001952;Level
OdBm::BuiltInParameter::HOST_PERIMETER_COMPUTED;-1001953;Perimeter
OdBm::BuiltInParameter::FLOOR_PARAM_IS_STRUCTURAL;-1001954;Structural
OdBm::BuiltInParameter::FLOOR_PARAM_SPAN_DIRECTION;-1001955;Span Direction
OdBm::BuiltInParameter::STRUCTURAL_DISPLAY_IN_HIDDEN_VIEWS;-1001956;Display in Hidden Views
OdBm::BuiltInParameter::SYMBOL_ID_PARAM;-1002000;Type Id
OdBm::BuiltInParameter::ALL_MODEL_TYPE_NAME;-1002001;Type Name
OdBm::BuiltInParameter::ALL_MODEL_FAMILY_NAME;-1002002;Family Name
OdBm::BuiltInParameter::SYMBOL_FAMILY_AND_TYPE_NAMES_PARAM;-1002003;Family and Type
OdBm::BuiltInParameter::BR_ORG_FOLDERS;-1002006;Folders
OdBm::BuiltInParameter::BR_ORG_FILTER;-1002007;Filter
OdBm::BuiltInParameter::ELEM_TYPE_LABEL;-1002008;Label
OdBm::BuiltInParameter::ELEM_TYPE_PARAM;-1002050;Type
OdBm::BuiltInParameter::ELEM_FAMILY_PARAM;-1002051;Family
OdBm::BuiltInParameter::ELEM_FAMILY_AND_TYPE_PARAM;-1002052;Family and Type
OdBm::BuiltInParameter::ELEM_PARTITION_PARAM;-1002053;Workset
OdBm::BuiltInParameter::ELEM_ROOM_NUMBER;-1002059;Room Number
OdBm::BuiltInParameter::ELEM_ROOM_NAME;-1002060;Room Name
OdBm::BuiltInParameter::ELEM_ROOM_ID;-1002061;Room Id
OdBm::BuiltInParameter::SCHEDULE_LEVEL_PARAM;-1002062;Level
OdBm::BuiltInParameter::SCHEDULE_BASE_LEVEL_PARAM;-1002063;Base Level
OdBm::BuiltInParameter::SCHEDULE_TOP_LEVEL_PARAM;-1002064;Top Level
OdBm::BuiltInParameter::SCHEDULE_BASE_LEVEL_OFFSET_PARAM;-1002065;Base Offset
OdBm::BuiltInParameter::SCHEDULE_TOP_LEVEL_OFFSET_PARAM;-1002066;Top Offset
OdBm::BuiltInParameter::EDITED_BY;-1002067;Edited by
OdBm::BuiltInParameter::ID_PARAM;-1002100;Id
OdBm::BuiltInParameter::FILL_PATTERN_ID_PARAM;-1002101;Cut fill pattern
OdBm::BuiltInParameter::WALL_STRUCTURE_ID_PARAM;-1002103;Structure
OdBm::BuiltInParameter::ANY_PATTERN_ID_PARAM;-1002105;Fill Pattern
OdBm::BuiltInParameter::COARSE_SCALE_FILL_PATTERN_ID_PARAM;-1002106;Coarse Scale Fill Pattern
OdBm::BuiltInParameter::MATERIAL_ID_PARAM;-1002107;Material
OdBm::BuiltInParameter::HOST_ID_PARAM;-1002108;Host Id
OdBm::BuiltInParameter::MODEL_CATEGORY_ID_PARAM;-1002109;Subcategory
OdBm::BuiltInParameter::COARSE_SCALE_FILL_PATTERN_COLOR;-1002110;Coarse Scale Fill Color
OdBm::BuiltInParameter::WRAPPING_AT_ENDS_PARAM;-1002111;Wrapping at Ends
OdBm::BuiltInParameter::WRAPPING_AT_INSERTS_PARAM;-1002112;Wrapping at Inserts
OdBm::BuiltInParameter::OBJECT_STYLE_MATERIAL_ID_PARAM;-1002113;Object Style Material
OdBm::BuiltInParameter::FILL_PATTERN_ID_PARAM_NO_NO;-1002114;Fill Pattern
OdBm::BuiltInParameter::ANY_PATTERN_ID_PARAM_NO_NO;-1002115;Fill Pattern
OdBm::BuiltInParameter::FLOOR_STRUCTURE_ID_PARAM;-1002116;Structure
OdBm::BuiltInParameter::ROOF_STRUCTURE_ID_PARAM;-1002117;Structure
OdBm::BuiltInParameter::CEILING_STRUCTURE_ID_PARAM;-1002118;Structure
OdBm::BuiltInParameter::BUILIDING_PAD_STRUCTURE_ID_PARAM;-1002119;Structure
OdBm::BuiltInParameter::FOREGROUND_DRAFT_PATTERN_ID_PARAM;-1002120;Foreground Fill Pattern
OdBm::BuiltInParameter::FOREGROUND_ANY_PATTERN_ID_PARAM;-1002121;Foreground Fill Pattern
OdBm::BuiltInParameter::BACKGROUND_DRAFT_PATTERN_ID_PARAM;-1002122;Background Fill Pattern
OdBm::BuiltInParameter::FOREGROUND_PATTERN_COLOR_PARAM;-1002123;Foreground Pattern Color
OdBm::BuiltInParameter::BACKGROUND_PATTERN_COLOR_PARAM;-1002124;Background Pattern Color
OdBm::BuiltInParameter::FILLED_REGION_MASKING;-1002125;Masking
OdBm::BuiltInParameter::CEILING_ATTR_DEFAULT_HEIGHT_PARAM;-1002200;Default Height above level
OdBm::BuiltInParameter::CEILING_ATTR_PATTERN_PARAM;-1002201;Pattern
OdBm::BuiltInParameter::CEILING_ATTR_SPACING1_PARAM;-1002202;Spacing Axis 1
OdBm::BuiltInParameter::CEILING_ATTR_SPACING2_PARAM;-1002203;Spacing Axis 2
OdBm::BuiltInParameter::CEILING_ATTR_SYSTEMNAME_PARAM;-1002204;System
OdBm::BuiltInParameter::CEILING_THICKNESS;-1002206;Thickness
OdBm::BuiltInParameter::CEILING_HEIGHTABOVELEVEL_PARAM;-1002300;Height Offset From Level
OdBm::BuiltInParameter::CEILING_THICKNESS_PARAM;-1002301;Thickness
OdBm::BuiltInParameter::CEILING_HAS_THICKNESS_PARAM;-1002302;Has Thickness
OdBm::BuiltInParameter::SLOPE_START_HEIGHT;-1002400;Height Offset at Tail
OdBm::BuiltInParameter::SLOPE_END_HEIGHT;-1002401;Height Offset at Head
